topword	middleword	bottomword	chose_topword
 naked	brown	a toe	0
to know	a toe	brown	0
 grass	 soft	to melt	1
 soft	 grass	a gift	1
black	a nose	to disturb	0
a nest	to disturb	a nose	1
to disturb	a nest	to speak	1
the ground	to know	 clever	0
a woman	 clever	to know	0
a box	to destroy	purple	1
to destroy	a box	 power	0
 week	 power	a box	1
 power	 week	 clothes	1
 money	to bother	the ground	1
to bother	 money	a message	0
a fish	a message	 money	0
to sell	 source	 powerful	1
 source	to sell	a box	1
 child	to add	a thigh	0
to deceive	a thigh	to add	0
a knife	purple	a boot	1
purple	a knife	orange	0
to choose	orange	a knife	0
to disturb	a cheek	black	1
a cheek	to disturb	 money	1
to know	a heel	brown	0
 chest	brown	a heel	0
yellow	a mistake	 powerful	1
a mistake	yellow	 chest	1
orange	a knife	to grow	1
a knife	orange	 other	1
a bed	 weak	to seek	1
 weak	a bed	a grandfather	1
brown	a toe	to know	1
a toe	brown	to eat	1
to believe	 life	 hair	1
 life	to believe	pink	1
to forget	to grow	purple	0
a knife	purple	to grow	0
a grandfather	a bed	a month	1
a bed	a grandfather	 meat	1
an item	a collar	a shelf	1
a collar	an item	a table	1
the ground	to forget	a thigh	1
to forget	the ground	 grief	1
 powerful	a reason	 clever	0
a woman	 clever	a reason	0
a ladder	a word	red	0
a reason	red	a word	0
a collar	to arrive	a vein	0
to bother	a vein	to arrive	1
a vein	to bother	 money	1
a heel	 sick	a family	0
 hair	a family	 sick	0
 under	 noise	a nest	1
 noise	 under	a nose	0
to disturb	a nose	 under	0
a collar	to choose	 famous	1
to choose	a collar	an item	0
a table	an item	a collar	0
a mistake	 dish	to hear	0
the ground	to hear	 dish	0
 dirt	 chest	to deceive	1
 chest	 dirt	a gift	1
 sick	a story	 truth	0
to destroy	 truth	a story	0
white	 cheap	a leg	0
 noise	a leg	 cheap	0
red	to speak	pink	1
to speak	red	a knife	1
 country	to deceive	a box	1
to deceive	 country	 memory	1
to read	a table	gray	1
a table	to read	pink	1
yellow	a mistake	 powerful	1
a mistake	yellow	 gentle	1
a woman	 clever	a story	0
 truth	a story	 clever	0
 truth	a story	 sick	1
a story	 truth	to destroy	1
 under	 noise	a nest	1
 noise	 under	a nose	0
black	a nose	 under	0
 child	to add	a thigh	0
to deceive	a thigh	to add	0
a pillow	pink	a knife	1
pink	a pillow	a month	1
 famous	to seek	a collar	1
to seek	 famous	 pain	1
a shoe	 naked	a cheek	0
black	a cheek	 naked	0
a teacher	 naked	a shoe	0
 thin	a shoe	 naked	0
 other	orange	to choose	1
orange	 other	a picture	1
 grief	 dirt	a gift	1
 dirt	 grief	 soft	1
